skill_id,codename,name,short_name,category,n_levels,level_1,level_2,level_3,level_4,level_5,param,text_source
judgment,Judgment,Judgment,-,root,3,Deals 2.0x Focus SkillType.Dark damage to target critical HP enemy. Cannot miss.,Deals 2.0x Focus SkillType.Dark damage to target critical enemy.,Deals 25% increased damage for each SkillType.Debuff on the target,-,-,[0.25;1.0;3;2],pool
juggle,Juggle,Juggle,-,defend,2,Deal 0.35x Technique SkillType.Stun damage to enemies. Gain 3 stacks of Blade.,Automatically Throw Blade after use at full Blade stacks.,-,-,-,[0.25;0.35;1.0;3;2],pool
kanabo,Kanabo,Kanabo,Kanabote,enemy,0,-,-,-,-,-,[2.0],name-only
kappa,Kappa,Kappa,-,root,1,Damage taken decreased by up to ,-,-,-,-,[0.5;7;2;3],pool
katana,Katana,Katana,Katana,fight,3,Deals 1x Power SkillType.Physical damage to an enemy.,Apply 25% of damage dealt as SkillType.Physical damage over time for 3 turns,Damage gains 50% piercing,-,-,[0.25;0.5;3;2;4;5],json
kill,Kill,Kill,-,root,3,Deals massive SkillType.Physical damage to a critical enemy.,Deals Physical damage to a critical enemy.,Always critical damage,-,-,[3],pool
killbeam,KillBeam,Kill Beam,-,root,2,Deals 2.5x Power SkillType.Energy damage to target critical HP enemy. Cannot miss.,Deals 2.5x Power SkillType.Energy damage to target critical enemy.,-,-,-,[3],pool
kineticbarrier,KineticBarrier,Kinetic Barrier,-,defend,2,Bonus Action. Blocks up to 200 damage on target ally until after their next turn.,Damage exceeding barrier's remaining block is nullified,-,-,-,[0.4;0.42;0.5;1.25;1.5;2;3;4],pool
kitsune,Kitsune,Kitsune,Kitsune,root,3,Replace Katana with Rising Flame. Cast Foxfire on end.,Gain 50% of Discipline as Power and Agility while active,Discipline % increases dodge chance,-,-,[0.04;0.5;0.85;1.0;7;2;3],json
krakenflail,KrakenFlail,Kraken Flail,KrakenTentacle,enemy,1,Deals 0.75x Power SkillType.Physical damage to random enemy targets for each tentacle.,-,-,-,-,-,pool
krakenroar,KrakenRoar,Kraken Roar,-,enemy,1,Deals SkillType.Stun damage and increases speed and power.,-,-,-,-,[1.0;1.05],pool
kunai,Kunai,Kunai,-,root,1,Deals 0.8x Power SkillType.Physical damage to target enemy.,-,-,-,-,[0.1],pool
laserpistol,LaserPistol,Laser Pistol,Pistol,fight,3,Deals 1x Focus SkillType.Energy damage to target.,Also deals 0.3x Focus SkillType.Fire damage,Decreases target Technique by 20% for 3 turns,-,-,[0.3;0.8;1.0;3;2],json
lastresort,LastResort,Last Resort,-,enemy,1,"Deals 5x Power SkillType.Physical damage, and kills user.",-,-,-,-,[1.0],pool
lastrites,LastRites,Last Rites,-,root,2,Restore 25% Max MP per enemy removed,Restore 25% Max HP per enemy removed,-,-,-,[0.15;0.25;0.35;0.5;1.0;1.5],pool
laugh,Laugh,Laugh,-,defend,0,-,-,-,-,-,-,name-only
launchmedicaldrone,LaunchMedicalDrone,Launch Medical Drone,-,root,0,-,-,-,-,-,-,name-only
launchutilitydrone,LaunchUtilityDrone,Launch Utility Drone,-,root,0,-,-,-,-,-,-,name-only
launchvolatiledrone,LaunchVolatileDrone,Launch Volatile Drone,-,root,0,-,-,-,-,-,-,name-only
laygorgewormegg,LayGorgewormEgg,Lay Gorgeworm Egg,-,enemy,1,Spawns a gorgeworm egg.,-,-,-,-,[0.35],pool
layonhands,LayOnHands,Lay On Hands,-,root,3,Heals another ally for 100% of OWNER.NAME's maximum HP. One use.,Ally also regains 50% of OWNER.NAME's maximum MP,Ally gains a Free Turn,-,-,[0.2;0.25;0.4],pool
leadstorm,Leadstorm,Leadstorm,-,root,4,Use War until out of ammo. Tech is halved. Charges after using War or Peace.,Use War until out of ammo. Charges after War or Peace.,Deal 25% increased damage while active,Increases Tech by 5% for every shot fired,-,[0.05;0.25;0.5;1.0;3;2;4],pool
lightbeam,LightBeam,Light Beam,Light Beam,fight,3,Deals 1x Focus SkillType.Energy damage to target.,Decreases target Technique by 15% for 3 turns,Damage increased by 25%,-,-,[0.85;1.0;1.25;3;2],json
lightblade,LightBlade,Light Blade,-,inventions,1,Deals 160-220 piercing SkillType.Energy damage to target enemy. Cannot miss.,-,-,-,-,[1.5],pool
lightning,Lightning,Lightning,-,fight,0,-,-,-,-,-,[0.01;0.15;0.5;0.8;1.2;1.5;2.0;2],name-only
lightningstrike,LightningStrike,Lightning Strike,Light Strk,enemy,1,Deals 1.2x Focus SkillType.Lightning damage to target.,-,-,-,-,[0.01;0.15;2.0],pool
loafoff,LoafOff,Loaf Off,-,fight,2,Restore 50% Max MP to self.,Dispel one random SkillType.Debuff,-,-,-,[0.15;0.5;1.35;2;3],pool
loan,Loan,Loan,Loan,root,3,"Grants ally a Free Turn, but ally gains Debt every turn for 3 turns.",Ally gains 100% increased Speed,Ally deals 20% increased damage,-,-,[0.05;0.2;0.4;0.5;2.0;2;3],json
locustswarm,LocustSwarm,Locust Swarm,Locusts,fight,3,Deals 0.35x Focus SkillType.Physical and SkillType.MP damage to enemies.,Steals MP based on damage dealt,Always hits,-,-,[-0.05;0.75;2.0;3],json
logginghook,LoggingHook,Logging Hook,-,enemy,1,Pulls enemy into front row.,-,-,-,-,[3],pool
loudspeakers,LoudSpeakers,Loud Speakers,LoudSpkr,city,1,Decreases target Toughness or Discipline at random.,-,-,-,-,-,json
lovepotion,LovePotion,Love Potion,Love Pot,root,3,Redirect 50% of damage taken by self to target ally.,Redirect damage reduced by 50%,Redirects up to 100% based on missing HP,-,-,-,json
loverstrance,LoversTrance,Lover's Trance,Lvr's Trnc,enemy,3,Bonus Action. Target cannot directly target OWNER.NAME for 3 turns. Ignores resist.,Target counter attacks allies who target OWNER.NAME,Take 35% less damage from target,-,-,[0.2;0.25;0.4;0.5;0.65;1.0;2;3;7],json
lullaby,Lullaby,Lullaby,Lullaby,root,3,Damage taken by target does not decrease Sleep counter for 3 turns.,Damage taken gains 50% piercing if sleeping,Damage taken always critical if sleeping,-,-,[0.25;0.5;1.0;3.0;3.25;3.5;2;3],json
lunge,Lunge,Lunge,-,fight,0,-,-,-,-,-,[0.025;0.15;1.0;1.5],name-only
lute,Lute,Lute,-,defend,1,Access learned Song skills.,-,-,-,-,[2;7],pool
m16,M16,M16,-,fight,2,Deals 40-70 SkillType.Physical damage 3 times. Reload after 3 uses.,Last hit deals 50% more damage,-,-,-,[1.5;2],pool
madness,Madness,Madness,Madness,enemy,1,"All attributes increased by +15%, but hero has a 20% chance to lose control and attack a random target, including allies.",-,-,-,-,[0.5;1.0;2.0;10.0;12.0;48.0;7;2],json
magmabomb,MagmaBomb,Magma Bomb,-,enemy,1,Deals SkillType.Fire damage to all enemies.,-,-,-,-,[0.8],pool
malpractice,Malpractice,Malpractice,Malpractice,root,1,All allied healing reduced by 35% for this mission.,-,-,-,-,[-30.0;0.015;0.1;0.15;0.2;0.25;0.3;0.5;0.6;0.65;0.9;1.0;1.3;1.5;1.7;2.5;30.0;2],json
mark,Mark,Mark,-,fight,2,Damage taken increased by 30%.,Damage taken increased by 15%.,-,-,-,[0.15;0.3;0.35;1.0;3],pool
martialdb,MartialDB,Martial DB,Martial Database,root,1,"Use SkillType.Melee SkillType.Attack skills from other allies at level 1, except SkillType.Gadget.",-,-,-,-,[2;7],pool
maul,Maul,Maul,-,fight,0,-,-,-,-,-,-,name-only
meditate,Meditate,Meditate,Meditate,defend,3,Restores 15% of Max HP and MP and dispel 3 SkillType.Debuff effects. Two turn charge.,Increases damage and healing of next skill used by 25%,Your next skill counts as a Bonus Action,-,-,[0.25;0.75;1.0;1.5;30.0;7;2;3],json
medkit,Medkit,Medkit,-,root,2,Heals an ally for 400-500. Three uses per battle.,35% chance to not consume a use,-,-,-,[0.4;0.6;0.8;1.4;35.0;3;2],pool
megalaser,MegaLaser,Mega Laser,MegaLaserCharge,enemy,0,-,-,-,-,-,[0.0014;0.85;1.5;1.6],name-only
megalasercharge,MegaLaserCharge,Mega Laser Charge,-,enemy,1,The Eradicator is charging its main laser.,-,-,-,-,-,pool
melody,Melody,Melody,Melody,root,3,Song. Increases Focus and Discipline by 20% of OWNER.NAME's Technique for all allies.,Doubles MP regeneration for allies,Allies take 50% less SkillType.MP damage,-,-,[0.25;0.5;1.0;1.25;2.2;2;3],json
meltarmor,MeltArmor,Melt Armor,Melt Armr,root,3,Deals 0.45x Focus SkillType.Fire damage to target enemy. Damage increased based on target's Toughness. Lasts 3 turns.,Target takes same SkillType.Fire damage when hit by SkillType.Physical damage,Refreshes duration and stacks up to 3 times,-,-,[0.35;0.5;1.0;3.0;2;3;4],json
menagerie,Menagerie,Menagerie,-,defend,2,Summon Beasts from Ghalib's menagerie.,Increase Menagerie Beast attributes by 15% of Ghalib's Discipline,-,-,-,[2;3;7],pool
mend,Mend,Mend,-,root,3,Heals an ally for 50% of their missing HP.,Also restores 50% of missing MP,Dispel all SkillType.Debuff on target,-,-,[0.1;0.2;0.25;0.35;0.4;0.5;0.6;0.9;1.35;1.6;3;2],manual
metabolism,Metabolism,Metabolism,Metabolism,tbreak,1,All allies gain 15% Max HP regeneration and immunity to SkillType.Sleep damage for 3 turns.,-,-,-,-,[0.15;0.25;1.35],json
metamorphosis,Metamorphosis,Metamorphosis,-,enemy,1,Summons a Gorgeworm in the maggot's place.,-,-,-,-,[0.04;0.1;0.5;0.65;0.98;1.03],pool
meteorstrike,MeteorStrike,Meteor Strike,Meteor Stk,enemy,1,Deals 1.5x Focus SkillType.Physical and 1.25x Focus SkillType.Fire damage to all enemies. Long turn delay.,-,-,-,-,[0.01;2.0],pool
mimicry,Mimicry,Mimicry,-,root,3,Copies the last copyable skill used by each ally. Cannot copy Bonus Actions or passive skills.,Copies the last copyable skill used by each ally.,Copied skills have 35% reduced turn delay,-,-,[0.65;1.0;2;7],pool
mindshade,MindShade,Mind Shade,-,enemy,1,Deals 2.5x Focus SkillType.Dark damage to invaded enemy and heals VoidShade for .5x damage dealt.,-,-,-,-,[0.03;0.05;0.1;0.2;0.3;0.5;0.6;0.7;0.75;0.9;1.0],pool
minilaser,MiniLaser,Mini Laser,-,fight,2,Deals 80-100 piercing SkillType.Energy damage to target.,Gain 10% Turn Progress when used as a counter attack,-,-,-,[10.0;2;3],pool
mirage,Mirage,Mirage,Mirage,root,3,Target ally cannot be directly targeted by enemies for 3 turns.,Target takes 50% decreased damage,Hits have 35% chance to miss,-,-,[0.15;0.25;0.35;0.5;0.8;1.0;35.0;2;3],json
mirrorimage,MirrorImage,Mirror Image,-,root,4,Bonus Action. Summon clone that copies your next 3 skills at 65% damage.,Bonus Action. Clone that copies your next 3 skills.,MP cost decreased by 35%,Clone deals full damage,-,[0.25;0.65;1.0;3;5],pool
missilebarrage,MissileBarrage,Missile Barrage,-,enemy,1,Deals 0.6x Power SkillType.Physical damage to random enemy targets 8-12 times.,-,-,-,-,-,pool
missilepod,MissilePod,Missile Pod,-,fight,1,Deals 0.35x Power SkillType.Physical damage to random enemy targets 8-12 times. Long turn delay.,-,-,-,-,-,pool
mitosis,Mitosis,Mitosis,-,enemy,1,"Summon a Flesh Blob in an adjacent space, if possible.",-,-,-,-,[0.4;0.8;1.0;1.2],pool
mix,Mix,Mix,-,defend,1,Bonus Action. Create one temporary healing Item for use.,-,-,-,-,[0.4;1.0],pool
molotov,Molotov,Molotov,Molotov,root,3,Deals 100-150 SkillType.Fire damage and half as much each turn for 3 turns. Always hits. Two uses per battle.,Damage over time deals full damage,Hits all enemies,-,-,[0.5;0.85;3;2],json
molotovexplosion,MolotovExplosion,Molotov Explosion,-,root,0,-,-,-,-,-,-,name-only
monkeybanana,MonkeyBanana,Monkey Banana,-,defend,1,Heal target for 10% Max HP and MP.,-,-,-,-,[0.5],pool
monkeymischief,MonkeyMischief,Monkey Mischief,-,root,1,Non-boss target's next turn is interrupted.,-,-,-,-,[0.25;0.4;0.8;1.0;1.25;1.5],pool
monkeyscratch,MonkeyScratch,Monkey Scratch,-,fight,1,Deals 0.5x Power SkillType.Physical damage twice. Dispels one SkillType.Buff.,-,-,-,-,[0.4],pool
moonbeam,Moonbeam,Moonbeam,-,root,0,-,-,-,-,-,[1.25;2],name-only
mosh,Mosh,Mosh,-,root,0,-,-,-,-,-,-,name-only
motiontracker,MotionTracker,Motion Tracker,Motion Trk,fight,3,Bonus Action. Increases target's damage taken by 15%. Limit of one.,Target's Agility decreased by 35%,Target's damage taken increased by additional 15%,-,-,-,json
mourn,Mourn,Mourn,-,defend,3,Restore 15% of your health for each Downed ally.,Dispel one SkillType.Debuff for each Downed ally,Turn delay decreased by 15% for each Downed ally,-,-,[0.75;0.85;1.0;1.5;3;2],pool
mugennoken,MugenNoKen,Mugennoken,-,enemy,1,Deals 0.66x Power SkillType.Physical damage to random enemies 12 times.,-,-,-,-,[0.25;0.4;0.5],pool
munch,Munch,Munch,-,enemy,0,-,-,-,-,-,[0.2;0.33;0.4;0.5;0.6;0.8;1.0;1.2;1.4;1.6;2.0],name-only
munchally,MunchAlly,Munch Ally,Munch,enemy,0,-,-,-,-,-,-,name-only
musket,Musket,Musket,-,root,0,-,-,-,-,-,[0.14;0.5;0.6;2.0;12.0],name-only
naturemagic,NatureMagic,Nature Magic,NatureMag,root,1,Access Nature Magic skills. Each use grants Nature stack.,-,-,-,-,[2;7],pool
needlebarrage,NeedleBarrage,Needle Barrage,-,root,2,Deals 1x Toughness SkillType.Physical damage to all enemies. Four turn charge. Cannot miss.,Deals 1x Toughness SkillType.Physical damage to all enemies.,-,-,-,[0.4;0.5;0.7;1.0;1.2;1.6;2.0;3;2],pool
needlevolley,NeedleVolley,Needle Volley,-,root,3,Deals 0.45x Toughness SkillType.Physical damage 2 times to target.,Deals 0.45x Toughness SkillType.Physical damage 2 times to target,Gains 100% piercing,-,-,[0.05;0.3;3],pool
newteye,NewtEye,Newt Eye,-,root,1,Deals 50-75 SkillType.Fire damage to target enemy.,-,-,-,-,-,pool
nightmare,Nightmare,Nightmare,Nightmare,enemy,1,Deals 3x Focus SkillType.Dark damage to a sleeping enemy and reduces their discipline by 25%. Cannot miss.,-,-,-,-,[0.2;0.25;0.4;0.5;0.6;0.75;0.8;1.5;2.0;2.25],json
ninjatools,NinjaTools,Ninja Tools,-,root,1,Access Ninja Tools.,-,-,-,-,[0.5;2;7],pool
nirvana,Nirvana,Nirvana,Nirvana,defend,3,Target ally is healed for 3x Focus HP after 3 turns. Stackable 5 times.,Target is healed for 0.25x Focus per turn,"If target takes fatal damage, remove stack and survive with 1 HP",-,-,[0.05;0.2;0.35;0.5;0.6;1.0;1.6;2.1;3],json
nourish,Nourish,Nourish,Nourish,enemy,1,"Heals target for 1x FCS HP, clears 3 debuffs, and increases target SPD/POW by +25.",-,-,-,-,[25.0],json
oathofjustice,OathOfJustice,Oath of Justice,-,root,4,Gain access to Justice skills and Holy Wrath charges faster. Limit one Oath.,Gain access to Justice skills.,Increases SkillType.Holy damage by 35%,Decreases turn delay of Holy Wrath by 25%,-,[0.35;0.65;1.0;2;7;3],pool
oathofprotection,OathOfProtection,Oath of Protection,-,root,4,Gain access to Protection skills and Divine Shield now charges over time. Limit one Oath.,Gain access to Protection skills.,Divine Shield lasts an extra turn on self,Taunt enemies when gaining Divine Shield,-,[1.0;2;7;3;4],pool
oathofrestoration,OathOfRestoration,Oath of Restoration,-,root,4,Gain access to Restoration skills and Lay On Hands now charges over time. Limit one Oath.,Gain access to Restoration skills.,Increases healing by up to 50% based on missing HP,Overheal heals all allies for 15% of amount,-,[0.5;1.0;2;7],pool
observe,Observe,Observe,-,enemy,3,Stance. Automatically counter Lawbreakers after their turn.,Take 50% reduced damage from Lawbreakers,Revolver gains ammo when Lawbreakers act,-,-,[0.2;0.25;3],pool
ooze,Ooze,Ooze,Ooze,enemy,3,"Deals SkillType.Poison damage to enemies in an area, and causes SkillType.Poison damage over time.","Deals SkillType.Poison damage to enemies in an area, and causes SkillType.Poison damage over time.","Deals SkillType.Poison damage to enemies in an area, and causes SkillType.Poison damage over time.",-,-,[0.8],json
orderimp,OrderImp,Order Imp,-,fight,2,Command a bound Imp to use one of their skills.,Imps gain an additional skill,-,-,-,[2;3],pool
overclock,Overclock,Overclock,Overclock,defend,3,Restores 20% Max MP and increases Speed by 100% for 2 turns. 3 turn charge.,Increases damage and healing of next skill used by 25%,OWNER.NAME's next skill counts as a Bonus Action,-,-,[0.25;0.5;1.0;2;3],json
overpower,Overpower,Overpower,-,root,1,Deals 2x Power SkillType.Physical damage and steals turn progress. Requires Rage.,-,-,-,-,[0.01;0.15;0.25;0.5;2;3],pool
overwatch,Overwatch,Overwatch,-,root,3,Stance. Automatically counter with Peace when an ally is targeted by an enemy skill.,Stance. Counter with Peace when an ally is targeted by an enemy skill.,Counter has 35% chance to interrupt non-boss enemy's skill,-,-,[0.25;1.0;35.0;2;3],pool
owlspirit,OwlSpirit,Owl Spirit,-,root,2,Summon an Owl Spirit that uses Screech on enemies.,Allies restore 15% Max MP every turn,-,-,-,[0.25;2;7;3],pool
painkillers,Painkillers,Painkillers,Painkillers,root,3,Decreases taken damage by 50% for an ally. Three uses.,Cannot be removed,50% chance to prevent being downed,-,-,[0.25;0.5;1.0],json
painlash,PainLash,Pain Lash,-,enemy,1,"Deals 0.5x Power SkillType.Physical damage 3 times, and inflicts pain status.",-,-,-,-,[0.2;0.33;1.0],pool
pander,Pander,Pander,Pander,root,3,Heals self for 35% of Max HP.,50% chance to Taunt enemy front row,Doubles next Finisher damage,-,-,[0.05;0.7;1.0;1.8],json
paralyze,Paralyze,Paralyze,-,drone,1,Resets a target's turn progress.,-,-,-,-,[0.2;0.4;0.6;1.1],pool
parasiticbond,ParasiticBond,Parasitic Bond,Prstc Bond,enemy,1,"Transfers 75% of taken damage to target as piercing Dark damage, steals 90% of healing received, and steals free turns earned.",-,-,-,-,[0.05;0.07;0.3;0.5;0.6;0.7;0.8;1.0],json
patenteduse,PatentedUse,Patented Use,PatentUse,root,1,Hit adjacent allies with a Potion item. Two turn charge.,-,-,-,-,[2;7;3],pool
peace,Peace,Peace,-,defend,2,Deals 135-185 SkillType.Physical damage. Cannot be countered. Reload after 6 uses.,50% increased hit chance,-,-,-,[1.5;2],pool
penance,Penance,Penance,-,defend,3,Heals all allies for 0.1x Focus for each Sin. Removes all Sin.,Dispel 1 SkillType.Debuff from self for each Sin,Gain 1 Resist for each Sin,-,-,[0.15;1.0;1.5;1.9;2.0;20.0],pool
personalshield,PersonalShield,Personal Shield,-,defend,4,Bonus Action. 70% of taken damage is converted to SkillType.MP damage. Toggleable.,Doubles MP regeneration per turn,50% of SkillType.Healing received is converted to MP healing until MP is full,Bonus Action. Deactivate Personal Shield buff.,-,[0.5;2;5],pool
pestilence,Pestilence,Pestilence,Pestilence,root,3,Deals 0.35x Focus SkillType.Poison and SkillType.Dark damage over time. Uses all Bat's Fur and Toad Cap.,Lasts 1 extra turn for each Bat's Fur,Decreases target attributes by 5% for each Toad Cap,-,-,[0.5;1.0;1.5;3;2;4],json
phantomcut,PhantomCut,Phantom Cut,-,root,3,"Deals 0.45x Power SkillType.Physical damage until out of MP, up to 25 times. Requires and expends Mirror Image.",Deals 0.45x Power SkillType.Physical damage until out of MP. Requires Mirror Image.,Each hit has 20% chance to be free,-,-,[0.1;0.25;0.3;0.4;0.5;0.65;0.75;1.0;1.25;50.0],pool
piegun,Piegun,Pie Gun,-,root,3,Deals 400-500 SkillType.Stun damage to random enemies 4 times. One use. Four turn charge. Cannot miss.,Deals 400-500 SkillType.Stun damage to random enemies 4 times.,100% faster charge rate,-,-,[0.2;0.25;1.0;2.0;2;3],pool
piercing,Piercing,Piercing,-,root,1,Next SkillType.Spell this turn gains 50% more piercing.,-,-,-,-,[0.35;0.5;0.7;1.0;1.4;8.0],pool
piercinglaser,PiercingLaser,Piercing Laser,-,enemy,0,-,-,-,-,-,-,name-only
piercingpunch,PiercingPunch,Piercing Punch,-,enemy,0,-,-,-,-,-,[0.05;0.07;0.2;0.25;0.3;0.5;0.6;0.7;0.95;1.0;1.2;1.6;1.85;30.0;2;7],name-only
pincushion,Pincushion,Pincushion,-,root,3,Deals 0.45x Tech SkillType.Physical damage to target enemy 6 times. Requires Eagle Eye. Increased turn delay.,Deals 0.45x Tech SkillType.Physical damage to target enemy 6 times. Requires Eagle Eye.,Each hit deals 10% more damage,-,-,-,pool
pirouette,Pirouette,Pirouette,-,root,0,-,-,-,-,-,[0.25;0.4],name-only
pistol,Pistol,Service Pistol,-,fight,4,Deals 135-170 SkillType.Physical damage to target. Reload after 9 uses.,Deals 135-170 SkillType.Physical damage. Reload after 9 uses.,Damage always critical when 3 or fewer shots remain,Deals 50% increased damage to critical HP enemies,-,[1.5;2;3],pool
pixiedust,PixieDust,Pixie Dust,Pixie Dst,fight,3,Bonus Action. Heals adjacent allies for 0.5x Focus HP.,Also restores 0.15x Focus MP,Dispels a random SkillType.Debuff and removes SkillType.Sleep and SkillType.Stun damage,-,-,-,pool
plagueburst,PlagueBurst,Plague Burst,-,enemy,1,"Deals 1x Power SkillType.Physical and 1x Focus SkillType.Poison damage to enemies, spreading Plague to each target hit.",-,-,-,-,[0.125;0.35;0.475;0.625;1.375;1.525],pool
plaguepunch,PlaguePunch,Plague Punch,-,enemy,1,"Deals 0.5x Power SkillType.Physical damage and 0.5x Focus SkillType.Poison damage, and applies 2 stacks of Plague. Swaps to front row.",-,-,-,-,[0.5;2;7],pool
plunder,Plunder,Plunder,-,root,4,Deals 3x Power SkillType.Physical damage and steals turn progress. Uses all Adaptable stacks.,Deals 3x Power SkillType.Physical damage and steals turn progress.,Steals all dispellable SkillType.Buff if possible,Heals for 50% of damage dealt,-,[0.25;0.33;0.41;0.49;0.5;3;2;5],pool
pneumatics,Pneumatics,Pneumatics,-,defend,1,Adds Speed equal to 50% of current MP while in Steam Mech.,-,-,-,-,[0.5;1.25],pool
poisonclaws,PoisonClaws,Poison Claws,-,enemy,1,"Deals 0.75x Power SkillType.Poison damage, and damage over time. Hits 2 times.",-,-,-,-,[0.1;0.4;0.5;0.9;1.0;1.5],pool
poisonsting,PoisonSting,Poison Sting,Poison Sting,enemy,3,Deals SkillType.Poison damage over time.,Deals SkillType.Poison damage over time.,Deals SkillType.Poison damage over time.,-,-,[0.01;0.15;0.5;0.9;1.0;1.5],json
polishing,Polishing,Polishing,-,defend,1,Only lose 125 MP per turn while in Steam Mech.,-,-,-,-,[1.25],pool
posse,Posse,Posse,-,root,2,Allies attack target enemy Lawbreaker. Charges from Lawbreakers dealing damage.,Gains charge twice as fast,-,-,-,[1.0;35.0;2;7;3],pool
possession,Possession,Possession,Possession,root,3,Share 50% of all attributes with target non-undead ally for three turns. Kiara cannot take damage while active. Five turn charge.,Ally deals bonus 35% SkillType.Sonic damage with hits,Grants Free Turn to ally,-,-,[0.15;0.35;1.0;2.0;2],json
potl,PotL,Pot L,-,defend,1,Temporary. Heals ally for 75% of Max HP.,-,-,-,-,[0.75],pool
potm,PotM,Pot M,-,defend,1,Temporary. Heals ally for 50% of Max HP.,-,-,-,-,[0.5],pool
pots,PotS,Pot S,-,defend,1,Temporary. Heals ally for 25% of Max HP.,-,-,-,-,[0.25],pool
potx,PotX,Pot X,-,defend,1,Temporary. Heals ally for 100% of Max HP.,-,-,-,-,-,pool
pounce,Pounce,Pounce,Pounce,root,3,Prevent a non-boss enemy from acting and Rake them for 3 turns. Cannot be targeted while active. Requires Stalk. 3 turn charge.,Dispel a SkillType.Buff on target for each hit while active,Increases damage by 25% while active,-,-,[-0.5;0.25;0.5;0.75;1.0;3;2],json
powerballad,PowerBallad,Power Ballad,P. Ballad,root,3,Song. Increases Power and Toughness by 20% of OWNER.NAME's TEC for all allies.,Allies gain 1 Resist after their turn,Decreases damage taken by 15%,-,-,-,json
powerchord,PowerChord,Power Chord,PowChord,root,1,Deals 1.2x Tech SkillType.Sonic damage.,-,-,-,-,[0.015;0.1;0.15;0.5;0.65;1.5;16.0;26.0],json
powerfist,Powerfist,Powerfist,-,fight,2,Deals 1x Power SkillType.Physical damage. Shift to front row.,Deals 25% more damage in front row.,-,-,-,[0.025;0.05;0.15;0.25;0.6;0.95;1.0;1.25;1.6;1.85;2;7;3],pool
pr3dmissile,PR3DMissile,PR3D-Missile,-,root,3,Deals 450-500 SkillType.Physical damage to an enemy. Charges in 4 turns.,Charges in 3 turns.,Charges in 2 turns.,-,-,[0.25;0.65;2.0;2.25;3.0;4.0;3;2],pool
prank,Prank,Prank,-,root,3,Target's next turn is interrupted. Once per enemy.,Decreases target Technique by 20%,Gain 25% turn progress when target is interrupted,-,-,[0.25;0.4;0.8;1.0;1.2;1.25;1.5;25.0;2;3],pool
pray,Pray,Pray,-,fight,1,Heals all party members for 0.15x Focus.,-,-,-,-,[0.05;0.2;0.35;0.6;1.0;2;3],pool
prepare,Prepare,Prepare,-,defend,3,Gain a Free Turn at the end of next turn.,Gain 25% increased Technique until Free Turn,Gain 50% increased Critical Damage until Free Turn,-,-,-,pool
preparefood,PrepareFood,Prepare Food,Prep Food,root,3,Channeled. Spend turn preparing a meal for Serve Meal. Stack up to 10 meals.,Decreases damage taken by 35% while active,Counter with Throw Knife after being hit,-,-,[0.65;1.0;26.0;50.0;2;8;3],json
prescribe,Prescribe,Prescribe,Prescribe,defend,3,Access Prescription skills. Limit 1 per ally.,Prescription skills heal target for 10% HP every turn,Adds 50% of healing to Insurance,-,-,[0.1;2;7],json
prevent,Prevent,Prevent,-,tbreak,1,"Removes all dispellable SkillType.Debuff effects from allies, and adds 3 Resist to each ally.",-,-,-,-,[0.25;1.35],pool
preventenemy,PreventEnemy,Prevent Enemy,-,tbreak,0,-,-,-,-,-,[2],name-only
protect,Protect,Protect,-,defend,3,Bonus Action. Redirect 35% of damage taken by ally from hits to yourself.,Ally takes 25% decreased damage,Redirects 50% of damage,-,-,[0.5;0.75;2;3],pool
psiwave,PsiWave,Psi Wave,-,enemy,1,Deals 1x Focus SkillType.Dark damage to all enemies.,-,-,-,-,[0.5;1.0;2.0;2.5],pool
pullrope,PullRope,Pull Rope,-,root,2,Deals 100 SkillType.Stun damage and pulls target enemy into front row.,Damage gains 100% piercing,-,-,-,[-12.0;0.15;0.25;12.0],pool
pulsegrenade,PulseGrenade,Pulse Grenade,-,root,1,Deals 150-200 SkillType.Energy and SkillType.Stun damage to target enemies. One use.,-,-,-,-,[3;2],pool
pulsemissile,PulseMissile,Pulse Missile,-,enemy,1,Deals 500-600 piercing SkillType.Energy damage to an enemy. Cannot miss.,-,-,-,-,[0.25;0.65;2.25],pool
pulserifle,PulseRifle,Pulse Rifle,Pulse Rfl,fight,2,Deals 30-50 SkillType.Energy damage 3 times. Reload after 3 uses.,Increased to 4 hits,-,-,-,[2],pool
pulverize,Pulverize,Pulverize,-,enemy,1,Destroys a downed enemy.,-,-,-,-,[0.015;0.025;0.035;0.1;0.15;0.2;0.25;0.5;0.6;0.7;0.8;1.0],pool
pummel,Pummel,Pummel,-,root,4,Deals 0.45x Power SkillType.Physical damage to target enemy 3-5 times. Long turn delay.,Deals 0.45x Power SkillType.Physical damage to target enemy 3-5 times.,Consecutive hits deal SkillType.Stun damage,Number of hits increased to 5-10,-,[0.25],pool
pupate,Pupate,Pupate,Pupate,enemy,1,"Decrease incoming damage by 95% until next turn, and then transform into adult form.",-,-,-,-,[0.05;0.25;0.45;0.5;0.95;1.0;2.5;4.0],json
purge,Purge,Purge,-,enemy,1,Deals 1.25x Focus piercing SkillType.Lightning damage to target affected by Isolate.,-,-,-,-,[0.01;0.15;2.0],pool
queensbite,QueensBite,Queen's Bite,Queen's Bite,enemy,1,"Deals SkillType.Poison damage to all enemies, and SkillType.Poison damage over time. Increases SkillType.Poison damage taken.",-,-,-,-,[0.2;0.25;1.5],json
