Skill Name,Effect,,,Shared Effect,,Relic
Moonbeam,Cross - Any,?,"Level 1: Deals 0.45x Focus [Energy] damage to enemies up to 5 times.
Level 2: 25% increased damage
Level 3: Hts up to 7 times",-,-,Attunement
Mirage,Single - Any,?,"Level 1: Target ally cannot be directly targeted by enemies for 3 turns.
Level 2: Target takes 50% decreased damage
Level 3: Hits have 35% chance to miss",-,-,-
Star Fury,All - Party,-,"Level 1: Deals 1.5x Focus [Physical] damage to enemies 3 times. Requires and consumes 5 Nature stacks.
Level 2: Each hit deals 35% more damage
Level 3: Last hit ignores Toughness",-,-,-
Gaia's Embrace,Self - Party,-,"Level 1: Heals allies for 5x Focus. Requires and consumes 5 Astral stacks.
Level 2: Restores 5x Focus MP for allies
Level 3: Removes all [Debuff] from allies",-,-,-
Vine Spear,Single - Any,-,"Level 1: Deals 1.35x Power [Physical] damage to target enemy.
Level 2: Deals 50% increased critical damage
Level 3: Always hits",-,-,-
Charm,Single - Any,-,"Level 1: Force a non-Boss enemy to attack an adjacent teammate next turn with a basic attack, if possible.
Level 2: Attack deals 50% increased damage
Level 3: Effect has 25% chance to persist",Subpoena,-,Charmer's Veil
Enchant Spear,Passive,-,"Level 1: After using a [Spell] skill, gain a stack of Enchant Spear, max 5. Next Vine Spear consumes all stacks to deal 1x FCS [Energy] damage per stack.
Level 2: Added damage ignores defenses
Level 3: Each stack has 50% chance to not be consumed",-,-,-
Vine Armor,Passive,-,"Level 1: Increases Toughness by 50% of Focus.
Level 2: Reduces [Physical] damage taken by 35%
Level 3: Toughness cannot be reduced below base",-,-,-
Ageless,Passive,-,"Level 1: Decreases Stamina loss by 35% and [Buff] last 1 turn longer.
Level 2: Gain 5% increased attributes for each [Buff]
Level 3: Gain 10% increased damage and healing for each [Buff]",-,-,-
Healing Wisp,Self,-,"Level 1: Summon a wisp that casts Regrowth. Lasts 5 turns.
Level 2: Wisp gains 50% of your Focus
Level 3: Automatically cast at start of battle",-,-,-
Arboreal Aid,Self,-,"Level 1: Access Arboreal Aid skills.
Level 2: Arboreal Aid skills become level 2
Level 3: Arboreal Aid skills become level 3",-,-,-
Barkskin,Single - Any,?,"Level 1: [Physical] damage taken by target decreased by 0.5x Focus, up to 75%. Lasts 3 turns.
Level 2: Decreases [Poison] damage taken by 50%
Level 3: Heals for 0.5x Focus every turn",-,-,-
All For One,Passive,-,"Level 1: Gain 5% of all attributes from all allies
Level 2: Gain up to 5% more attributes based on ally HP percent
Level 3: Gain up to 5% more attributes based on your missing HP",-,-,-
One For All,Passive,-,"Level 1: Automatically Protects the weakest adjacent ally.
Level 2: Protect now redirects 50% more damage
Level 3: Reduces redirected damage by 50%",Chivalry,-,-
En Garde,Passive,-,"Level 1: Automatically Taunt target after using Disarm.
Level 2: Taunted enemies have a 50% chance to miss you
Level 3: Automatically Lunge after Taunted targets' turns",-,-,-
Coup de Gras,Single - Any,33,"Level 1: Deals 2.5x Power [Physical] damage to target critical enemy.
Level 2: Always deals critical damage 
Level 3: Cannot miss",Execute,Takedown,-
Smite,Single - Melee,-,"Level 1: Deals 1x Power [Physical] and 0.5x Focus [Holy] damage.
Level 2: Holy damage is now always critical
Level 3: Deals up to 50% more damage based on target's HP",-,-,-
Devotion,Passive,-,"Level 1: Skills granted by Oath are level 1.
Level 2: Skills are level 2
Level 3: Skills are level 3",-,-,-
Sacred Duty,Passive,-,"Level 1: Reduces damage taken from Cultists, Undead, and Bosses by 60%.
Level 2: Reduces duration of [Debuff] effects to 1 turn
Level 3: Increases all attributes by 15% of Discipline",-,-,-
Divine Shield,Single - Any,-,"Level 1: Blocks all damage taken by ally until your next turn. Limit one.
Level 2: Increases target's healing received by 50% while active
Level 3: Dispels all [Debuff] effects on end",-,-,William's Penance
Lay On Hands,Single - Any,-,"Level 1: Heals another ally for 100% of William's maximum HP. One use.
Level 2: Ally also regains 50% of William's maximum MP
Level 3: Ally gains a Free Turn",-,-,-
Holy Wrath,Cross - Melee,-,"Level 1: Deals 1x Power [Physical] and [Holy] damage to enemies in an area.
Level 2: Pierces 35% of defenses
Level 3: Always hits",-,-,-
Oath of Justice,Self,-,"Level 1: Gain access to Justice skills and Holy Wrath charges faster. Limit one Oath.
Level 2: Increases [Holy] damage by 35%
Level 3: Decreases turn delay of Holy Wrath by 25%",-,-,-
Oath of Protection,Self,-,"Level 1: Gain access to Protection skills and Divine Shield now charges over time. Limit one Oath.
Level 2: Divine Shield lasts an extra turn on self
Level 3: Taunt enemies when gaining Divine Shield",-,-,-
Oath of Restoration,Self,-,"Level 1: Gain access to Restoration skills and Lay On Hands now charges over time. Limit one Oath.
Level 2: Increases healing by up to 50% based on missing HP
Level 3: Overheal heals all allies for 15% of amount",-,-,-
Wrist Laser,Single - Any,-,"Level 1: Deals 1x Power [Energy] damage to target.
Level 2: Turn delay decreased by 35%
Level 3: Also deals 0.3x Power [Fire] damage",-,-,Pursuer Bracer
Marked Target,Passive,-,"Level 1: Random enemy becomes Marked. Can only target that enemy but deal 50% more damage.
Level 2: Counterattack Marked enemy after every turn
Level 3: Always hit Marked enemy",-,-,-
Claim Bounty,Passive,-,"Level 1: Fully restores HP and MP when Marked enemy is downed. Prevents Bleedout.
Level 2: Restores [Gadget] skills when Marked enemy is downed
Level 3: Gain Free Turn when Marked enemy is downed",-,-,-
PR3D-Missile,Single - Any,-,"Level 1: Deals 450-500 [Physical] damage to an enemy. Charges in 4 turns.
Level 2: Charges in 3 turns
Level 3: Charges in 2 turns",-,-,-
Katana,Single - Melee,-,"Level 1: Deals 1x Power [Physical] damage to an enemy.
Level 2: Apply 25% of damage dealt as [Physical] damage over time for 3 turns
Level 3: Ignores 50% of target Toughness and Discipline",-,-,-
Iaido,Passive,-,"Level 1: Deals 1x Power [Physical] damage to a random enemy at start of turn.
Level 2: Restore 20% of MP when triggered
Level 3: Uses Kenjiro's first skill instead when triggered",-,-,-
Lucid Mind,Passive,-,"Level 1: Spirit Shield cannot be dispelled and activates at start of battle.
Level 2: Discipline increased by 35% of Wisdom
Level 3: Wisdom and Discipline cannot be reduced below base",-,-,-
Sword Spirit,Self,-,"Level 1: Bonus Action. Access the Sword Spirits. Charges over time.
Level 2: Sword Spirits become level 2
Level 3: Sword Spirits become level 3",-,-,-
Tengu,Self,-,"Level 1: Replace Katana with Wind Cutter. Cast Falling Leaf on end.
Level 2: Gain 50% of Discipline as Power and Focus while active
Level 3: Adds up to 0.5x Discipline to damage with hits",-,-,-
Kappa,Self,-,"Level 1: Replace Katana with Goading Strike. Cast Great Shell on end.
Level 2: Gain 50% of Discipline as Power and Toughness while active
Level 3: Reduces damage taken by 0.5x Discipline, up to 75%",-,-,-
Kitsune,Self,-,"Level 1: Replace Katana with Rising Flame. Cast Foxfire on end.
Level 2: Gain 50% of Discipline as Power and Agility while active
Level 3: Discipline % increases dodge chance",-,-,-
Spirit Walk,Self,-,"Level 1: All damage taken is converted into [MP] damage for 1 turn.
Level 2: Restore 25% of missing MP on end
Level 3: Gain 3 Resist stacks on use",-,-,-
Commune,Self,-,"Level 1: Access the Animal Spirit skills. Requires Spirit Walk.
Level 2: Animal Spirits become level 2
Level 3: Animal Spirits become level 3",-,-,-
Elk Spirit,Self,-,"Level 1: Summon an Elk Spirit that casts Regrowth on allies.
Level 2: Allies heal for 5% Max HP every turn
Level 3: Cast Healing Rain when expiring",-,-,-
Boar Spirit,Self,-,"Level 1: Summon a Boar Spirit that uses Gore on enemies. 
Level 2: Allies take 15% less damage while active
Level 3: Cast Bulwark when expiring",-,-,-
Owl Spirit,Self,-,"Level 1: Summon a Boar Spirit that uses Gore on enemies. 
Level 2: Allies restore 15% Max MP every turn
Level 3: Cast Wail when expiring",-,-,-
Duality of Being,Passive,-,"Level 1: Being healed also restores 35% as MP.
Level 2: Gain 25% of Wisdom as Endurance
Level 3: Gain 25% of Endurance as Wisdom",-,-,-
Spirit Channeling,Passive,-,"Level 1: Sustains your Animal Spirit while active. Lasts 3 turns. Channeled.
Level 2: Animal Spirits gain all stats equal to 35% of Lucien's Wisdom
Level 3: Animal Spirits gain a copy of Lucien's relics",-,-,-
Read Omen,Passive,-,"Level 1: At start of [Character]'s turn, a random ally gains a Free Turn.
Level 2: Ally gains 50% of missing MP
Level 3: [Character] also gains the ally's restored MP",Grant Wish,-,-
Shamanic Path,Passive,-,"Level 1: Automatically Spirit Walk at the start of battle.
Level 2: Automatically Meditate when critical
Level 3: Turn delay decreased by 35% while Channeling",-,-,-
Splash,Single - Any,-,"Level 1: Deals 1x Focus [Physical] and [Stun] damage.
Level 2: Decreases target's Technique by 15%
Level 3: Decreases target's Speed by 15%",-,-,-
Submerge,Passive,-,"Level 1: After taking 10% of HP damage from hits, reduce all damage by 90% until next turn.
Level 2: Restore 25% of Max MP when activated
Level 3: Remove all [Debuff] effects when activated",-,-,-
Lullaby,Single - Any,53,"Level 1: Damage taken by target does not decrease Sleep counter for 3 turns.
Level 2: Damage taken gains 50% piercing if sleeping
Level 3: Damage taken always critical if sleeping",-,-,-
Arctic Jet,Column - Any,-,"Level 1: Deals 1.5x Focus [Physical] and [Ice] damage to enemies. Charges over time.
Level 2: Also deals [Stun] damage
Level 3: 50% increased damage against one target",-,-,-
Drown,Single - Any,-,"Level 1: Deals 2.5x Focus [Physical] damage to a sleeping enemy.
Level 2: Always deals critical damage
Level 3: Cannot miss",-,-,-
Rune Strike,Single - Melee,-,"Level 1: Deals 0.8x Power [Physical] damage. Gain 25% of Max MP.
Level 2: Allies gain half as much MP
Level 3: Cast Spellscreen on self after use",-,-,-
Spellscreen,Single - Any,-,"Level 1: Blocks up to 1x Focus damage from [Spell] skills.
Level 2: Restores MP for 1x the damage blocked
Level 3: Deals [Energy] damage to attackers for 1x damage blocked",-,-,Runic Mail
Enchanted Blade,Passive,-,"Level 1: Deal up to current MP as [Energy] damage with [Attack] skills but lose 10% MP.
Level 2: Damage pierces 50% of defenses
Level 3: Gain permanent True Strike",-,-,-
Spell Refraction,Passive,-,"Level 1: Whenever an ally uses a [Spell] skill, Gabrielle has a 50% chance to use the same skill if possible.
Level 2: Gabrielle gains 35% turn progress after use
Level 3: Skill no longer costs MP",-,-,-
Arcane Conduit,All - Party,120,"Level 1: While active, force enemy [Spell] skills to target you. Last 3 turns.
Level 2: Enemies deal 50% less damage with [Spell] skills
Level 3: Enemies take 1x Focus [Energy] damage on [Spell] use",-,-,-
Shatter,Single - Any,40,"Level 1: Dispels 1 [Buff] effect and deals 0.75x Focus [Energy] damage for each removed.
Level 2: Dispels up to 2 [Buff] effects
Level 3: Dispels up to 3 [Buff] effects",-,-,Dispelling Wand
Feedback,Single - Any,40,"Level 1: Target takes 1x Focus [Energy] damage after using [Attack] skills. Lasts 3 turns. Only targets enemies that have [Attack] skills. Stacks.
Level 2: Target deals 25% less damage with [Attack] skills
Level 3: Now lasts 5 turns",-,-,-
True Strike,Single - Any,33,"Level 1: Target always hits with next 3 [Attack] skills.
Level 2: Reduces MP cost of [Attack] skills by 50%
Level 3: Target ignores defenses with [Attack] skills",-,-,-
Stakebolt,Single - Any,-,"Level 1: Deals 1.5x Power [Physical] damage. Instantly removes Undead that are downed by Stakebolt.
Level 2: Deals 50% increased damage to Undead
Level 3: Always critically hit Undead",-,-,-
Blood Trance,Self,-,"Level 1: Sacrifice 20% HP every turn and increase damage with [Attack] skills by 35%. Toggleable.
Level 2: Heal by 25% of damage dealt with [Attack] skills
Level 3: Activates at start of battle",-,-,Hunter's Blood
Bloodline,Self,-,"Level 1: Base attributes are increased by 25%, but prevents healing from sources other than self.
Level 2: Regenerate 20% of missing HP every turn
Level 3: Lose 50% less Stamina when traveling through conduit space",-,-,-
Daywalker,Passive,-,"Level 1: Take 50% decreased [Holy] damage.
Level 2: Immune to [Stun] to [Sleep] damge
Level 3: Bloodline only prevents 50% of healing",-,-,-
Anatomical Study,Passive,-,"Level 1: Second chance for damage dealt to be critical.
Level 2: Critical damage increased by 50% 
Level 3: Critical damage has 50% more piercing",-,-,-
Hunter Tools,Self,-,"Level 1: Access Vampire Hunter Tools.
Level 2: Tools become level 2
Level 3: Tools become level 3",-,-,-
Silver Net,Single - Any,?,"Level 1: Deals 100-150 [Stun] for 3 turns. Undead and Beasts also take 100-150 [Holy] damage. One use.
Level 2: 35% chance for non-boss target's turn to be interrupted
Level 3: Target cannot dodge",-,-,-
Blessed Water,Single - Melee,?,"Level 1: Deals 15% Max HP [Holy] damage to Undead enemy.
Level 2: Prevents [Healing] on target Undead enemy
Level 3: Target Undead enemy dies immediately if Downed",-,-,-
Crucifix,Row - Any,?,"Level 1: Deals 150-200 [Stun] damage to enemies in the front row. One use.
Level 2: Also deals 100-150 [Holy] damage
Level 3: All Downed enemies are removed from battle",-,-,-
Whip Shot,Single - Any,?,"Level 1: Deals 0.75x Power [Physical] damage and shifts target to the back row.
Level 2: Also deals 1x Power [Stun] damage
Level 3: Also deals 66% of damage to back row target",-,-,-
Auto Crossbow,Single - Any,-,"Level 1: Deals 0.65x Power [Physical] damage up to 6 times. Charges during Blood Trance.
Level 2: Deals 33% increased damage to Undead
Level 3: Each hit increases damage by 10%",-,-,-
Witchcraft,Passive,-,"Level 1: Gain 20% current MP as Technique, but lose 15% current MP after casting a [Spell] skill.
Level 2: MP regeneration increased by 50%
Level 3: MP cost of [Spell] skills reduced by 50%",-,-,-
Dark Arts,Passive,-,"Level 1: Adds up to 10% of current MP to damage of [Spell] hits, but sacrifice 15% of current HP after casting a [Spell] skill.
Level 2: Gain the lost HP as MP
Level 3: Deal up to 35% increased damage based on missing HP",-,-,-
Cauldron,Self,-,"Level 1: Cast various spells by using Reagents.
Level 2: Cauldron Spells become level 2
Level 3: Cauldron Spells become level 3",-,-,-
Dark Flame,Single - Any,?,"Level 1: Deals 1x Focus [Dark] and [Fire] damage. Uses all Newt Eye and Bat's Fur.
Level 2: Hits extra target for each Bat's Fur
Level 3: Deals 25% more damage for each Newt Eye",-,-,-
Acid Burn,Column - Any,?,"Level 1: Deals 0.6x Focus [Poison] and [Fire] damage. Uses all Newt Eye and Toad Cap.
Level 2: Targets lose 1 dispellable [Buff] for each Toad Cap
Level 3: Gains 25% piercing for each Newt Eye",-,-,-
Pestilence,All - Party,?,"Level 1: Deals 0.35x Focus [Poison] and [Dark] damage over time. Uses all Bat's Fur and Toad Cap.
Level 2: Lasts 1 extra turn for each Bat's Fur
Level 3: Decreases target attributes by 5% for each Toad Cap",-,-,-
Reagents,Self,-,"Level 1: Reagents used to cast spells. Gain 1 random reagent per turn.
Level 2: Gain 2 per turn
Level 3: Gain 3 per turn",-,-,-
Newt Eye,Single - Any,?,"Level 1: Deals 50-75 [Fire] damage to target enemy.
Level 2: N/A
Level 3: N/A",-,-,-
Toad Cap,Single - Any,?,"Level 1: Deals 50-75 [Poison] damage to target enemy.
Level 2: N/A
Level 3: N/A",-,-,-
Bat's Fur,Single - Any,?,"Level 1: Deals 50-75 [Dark] damage to target enemy.
Level 2: N/A
Level 3: N/A",-,-,-
Love Potion,Single - Any,-,"Level 1: Redirect 50% of damage taken by self to target ally.
Level 2: Redirect damage reduced by 50%
Level 3: Redirects up to 100% based on missing HP",-,-,-
Chop,Single - Melee,-,"Level 1: Deals 1x Power [Physical] damage to target. Deals 50% increased damage to Plants.
Level 2: Damage gains 50% more piercing
Level 3: Damage increased by 30%",-,-,-
Midnight Curse,Self,-,"Level 1: Lose control, but gain Rip and Tear skills and 50% increased attributes, after 3 turns.
Level 2: 35% chance to repeat [Attack] skills
Level 3: Gain Free Turn when activated",-,-,-
Rip,Single - Melee,?,"Level 1: Deals 0.3x Power [Physical] damage to an enemy three times.
Level 2: Hits 4 times
Level 3: Hits 5 times",Flurry,-,-
Tear,Single - Melee,?,"Level 1: Deals 1.35x Power [Physical] damage and decreases target's [Healing] received by 40% for 3 turns.
Level 2: Stacks three times
Level 3: Decreases target's Endurance by 15%",Wound,-,-
Wolfblood,Passive,-,"Level 1: Reduces healing received by 50%.
Level 2: Gain 15% of [Attack] damage as healing
Level 3: Automatically use Howl at start of turn",-,-,-
Howl,All - Party,55,"Level 1: Increases Power, Speed, and Technique by 25% for all allies.
Level 2: Reduces damage taken by 50% while critical
Level 3: Allies gain 35% turn progress",-,-,Wolf's Fang
Wraith Strike,Single - Melee,-,"Level 1: Deals 0.75x Power [Physical] damage to target enemy. Short turn delay.
Level 2: Damage restores MP
Level 3: Always hits",-,-,-
ExoSuit,Passive,-,"Level 1: Reduces MP cost of [Attack] skills by 35%
Level 2: Adds an extra chance to try to dodge
Level 3: Gain 1 Resist every turn",-,-,-
Cloaking Module,Passive,-,"Level 1: Ambush lasts for 3 skills but reduces max MP by 25%.
Level 2: Ambush has 50% reduced turn delay
Level 3: Always hit while Ambush active",-,-,-
Phantom Cut,All - Party,18,"Level 1: Deals 0.45x Power [Physical] damage until out of MP, up to 25 times. Requires and expends Mirror Image.
Level 2: MP cost decreased by 25%
Level 3: Each hit has 20% chance to be free",-,-,-
Mirror Image,Self,83,"Level 1: Bonus Action. Summon clone that copies your next 3 skills a 65% damage.
Level 2: MP cost decreased by 35%
Level 3: Clone deals full damage",-,-,Shattered Vanity
Dragon Blade,Single - Melee,-,"Level 1: Deals 1x Power [Physical] damage to target enemy.
Level 2: Also deals 0.5x Focus [Fire] damage
Level 3: Cannot miss",-,-,-
Racketeer,Passive,-,"Level 1: Kazuo steals 10% of all attributes from allies he Protects.
Level 2: Kazuo steals 10% of all attributes from enemies he Extorts
Level 3: Take 50% less damage from Extorted enemies",-,-,-
Uzi,Passive,-,"Level 1: Deals 75-125 [Physical] damage to random enemies at start of turn.
Level 2: Hits 6 times
Level 3: Hits 8 times",-,-,-
Extort,Single - Any,-,"Level 1: Target enemy has a 35% chance for their turn to be interrupted. Lasts until dispelled. No effect on Bosses.
Level 2: Steals one dispellable [Buff] on interrupt
Level 3: Gain 25% turn progress on interrupt",-,-,-
Dragon Rush,Column - Melee,139,"Level 1: Deals 2x Power [Physical] and [Fire] damage, but decreases Kazuo's attributes by 35% and cannot be used again for 3 turns.
Level 2: Take 50% decreased damage while exhausted
Level 3: Always deal critical damage",-,-,-
Laugh,Self,-,"Level 1: Up to 3 random enemies gain Debt and are Taunted. Charges over time.
Level 2: Dispel 1 [Debuff] effect for each enemy hit
Level 3: Heal for 5% Max HP for each enemy hit",-,-,-
Debt,Passive,-,"Level 1: Deals 0.5x Power [Sonic] damage every turn to affected target. Cannot be resisted. Ends if graham is downed.
Level 2: Decreases target's damage dealt by 5% for each stack
Level 3: Pierces 50% more defenses",-,-,-
Financial Crisis,Passive,-,"Level 1: After inflicting 8 stacks of Debt, automatically inflict all enemies and allies with Debt.
Level 2: Skips allies 50% of the time
Level 3: Enemies have 35% chance to gain extra Debt",-,-,-
Interest,Passive,-,"Level 1: Gain 25% of damage done by Debt as healing.
Level 2: Gain 25% of the healing gained as Toughness up to +100
Level 3: Gain 25% of the healing gained as Power up to +100",-,-,-
Bankrupt,Single - Any,60,"Level 1: Remove all Debt stacks from enemy. Deals damage equal to 3 turns of Debt.
Level 2: Deals damage equal to 4 turns
Level 3: Deals damage equal to 5 turns",-,-,-
Loan,Single - Any,90,"Level 1: Grant ally a Free Turn, but ally gains Debt every turn for 3 turns.
Level 2: Ally gains 100% increased Speed
Level 3: Ally deals 20% increased damage",-,-,-
Offering,Self,-,"Level 1: Bonus Action. Sacrifice 20% of current HP.
Level 2: Increase damage and healing of next skill by 25%
Level 3: Dispel 3 [Debuff] effects",-,-,-
Phylactery,Passive,-,"Level 1: Sacrificed HP charges Blood Essence skill.
Level 2: Increases Focus by Blood Essence charge percent
Level 3: Cast Blood Essence automatically of fully charged when Downed",-,-,-
Scarred Flesh,Passive,-,"Level 1: Decreases damage taken by up to 80% based on missing HP.
Level 2: Stamina has 50% decreased effect on Endurance
Level 3: Decreases duration of [Debuff] to 1 turn",-,-,-
Tainted Blood,Passive,-,"Level 1: Decreases Endurance and healing received by 5% per stack. Max 10 stacks. Gain stack when healed for 10% of Max HP.
Level 2: Each stack increases damage and healing dealt by 10%
Level 3: Heals for 5% Max HP when removed",-,-,-
Blood Essence,Self,-,"Level 1: Heals self for up to Max HP, based on charge.
Level 2: Allies gain 10% of healing done 
Level 3: Retain 25% of charge after use",-,-,-
Coagulate,Single - Any,21,"Level 1: Target enemy takes up to 0.5x Focus added [Dark] damage when hit.
Level 2: Damage taken by enemy gains 50% more piercing
Level 3: Damage taken by enemy charges Blood Essence",-,-,-
Blood Shield,Single - Any,40,"Level 1: Create a shield that blocks up to 2.5x Focus damage taken by target ally. Sacrifice HP when shield blocks damage.
Level 2: Shield strength gains 10% of current HP when cast
Level 3: Ally gains 3 resist stacks",-,-,Martyr's Spike
Hex,Single - Any,-,"Level 1: Bonus Action. Target takes 25% more damage from damage over time effects. Cannot be resisted.
Level 2: Removes all resist stacks
Level 3: Deals 3x Focus [Dark] damage if dispelled",-,-,-
Dark Words,Self,-,"Level 1: Bonus Action. Access Dark Word skills.
Level 2: Skills become level 2
Level 3: Skills become level 3",-,-,Eldar's Scroll
Dk Word: Fragility,Single - Any,?,"Level 1: Bonus Action. Increases target's damage taken by 15% for 3 turns.
Level 2: Hits pierce 25% more of target's defenses
Level 3: Adds up to 0.1x Focus damage to hits taken",-,-,-
Dk Word: Weakness,Single - Any,?,"Level 1: Bonus Action. Decreases target's damage dealt by 15% for 3 turns.
Level 2: Target has a 25% chance to miss
Level 3: Target cannot critically hit",-,-,-
Dk Word: Sloth,Single - Any,?,"Level 1: Bonus Action. Decreases target's Speed by 25% for 3 turns.
Level 2: Decreases target's Agility by 25%
Level 3: Target has 25% chance to be interrupted",-,-,-
Devouring Soul,Passive,-,"Level 1: Reduces MP cost of [Dark] skills by 50% but converts half of healing received into MP.
Level 2: [Dark] damage gains 25% more piercing
Level 3: Increases [Dark] damage by up to 50% based on current MP",-,-,-
Desecrate,All - Party,19,"Level 1: Enemies take 1x Focus [Dark] damage every turn but costs MP.
Level 2: Enemies take 15% more damage
Level 3: Costs 25% less MP per turn",-,-,-
Haunt,Single - Any,22,"Level 1: Deals 0.5x Focus [Dark] damage every turn for 3 turns.
Level 2: Damage increases by 25% every turn
Level 3: Transfers to another enemy on end",-,-,Voodoo Talisman
Sleep Bomb,All - Party,-,"Level 1: Deals 275-325 [Sleep] damage to all enemies. One use.
Level 2: Two uses
Level 3: Damage increased to 400-500",-,-,-
Dancer,Passive,-,"Level 1: All [Attack] skills can be used as a Bonus Action.
Level 2: Gain +10 Technique after every skill use
Level 3: Damage no longer reduces Sleep",-,-,-
Strike Back,Passive,-,"Level 1: Counter with Venom Bite after being targeted by a [Melee] skill.
Level 2: Counter with Pirouette if possible
Level 3: Counters cannot miss",Snapback,-,-
Pirouette,Cross - Melee,84,"Level 1: Deals 0.75x Power [Physical] damage to enemies in an area.
Level 2: Also deals [Stun] damage
Level 3: Primary target is also hit with Venom Bite",Thrash,-,-
Snake Oil,Single - Any,-,"Level 1: Fully heals target ally! (Disclaimer: this product not intended to diagnose, treat, cure or prevent any disease.)
Level 2: Dispels all debuffs!
Level 3: Grants full resistance!",-,-,-
Prepare Food,Self,-,"Level 1: Channeled. Spend turn preparing a meal for Serve Meal. Stacks up to 10 meals.
Level 2: Decreases damage taken by 35% while active
Level 3: Counter with Throw Knife after being hit",-,-,-
Serve Meal,Single - Any,-,"Level 1: Bonus Action. Heal target for 50% of missing HP.
Level 2: Also restores 50% of missing MP
Level 3: Dispel all [Debuff] on target",-,-,-
Hearty Meal,Passive,-,"Level 1: Served Meals heal target ally for 25% missing HP for three turns.
Level 2: Ally gains 25% increased attributes
Level 3: Ally gains +350 Max HP",-,-,-
Culinary Arts,Passive,-,"Level 1: Gain 15% turn progress after using [Attack] skills.
Level 2: [Attack] skills damage increased by current turn progress
Level 3: [Attack] skills have a 35% chance to repeat",-,-,-
Throw Knife,Single - Any,30,"Level 1: Deals 1x Power [Physical] damage to target. Cannot be countered.
Level 2: Deals 50% more critical damage
Level 3: Damage gains 25% piercing",-,-,Jacques' Knife
Soulflay,Single - Melee,45,"Level 1: Deals 1.35x Power [MP] damage to target. Always hits.
Level 2: Decreases target Discipline by 35% for three turns
Level 3: Target dies instantly if downed, instead of bleeding out. Lasts three turns.",Sever Soul,-,-
Mix,Self,-,"Level 1: Bonus Action. Create one temporary healing Item for use.
Level 2: Creates two items
Level 3: Creates three items",-,-,Chemist Beaker
Pharmaceuticals,Passive,-,"Level 1: Adds up to 1x Focus MP Healing from items used by Olive.
Level 2: Healing items also dispel one [Debuff]
Level 3: Gain an extra item from battle rewards",-,-,-
Auto-Potion,Passive,-,"Level 1: Automatically use a random Potion on self when critical. Once per turn.
Level 2: Automatically use strongest Potion
Level 3: Potion is not consumed when used",-,-,-
Patented Use,Self,-,"Level 1: Hits adjacent allies with a Potion item. Charges over time.
Level 2: Item isn't consumed on use
Level 3: Items affect all allies",-,-,-
Painkillers,Single - Any,-,"Level 1: Decreases taken damage by 50% for an ally. Three uses.
Level 2: Cannot be removed
Level 3: 50% chance to prevent being downed",-,-,-
Instruct,Single - Any,-,"Level 1: Command ally with Bargain to use one of their skills, if possible.
Level 2: Ally can also use Illia's skills other than Dark Words and Instruct
Level 3: Decreased turn delay by 35%",-,-,-
Devil's Mark,Passive,-,"Level 1: After applying [Debuff], target takes 0.5x Focus [Dark] damage next turn. Max 3 stacks.
Level 2: Max stacks increased to 5
Level 3: Each stack increases Devil's Mark damage by 10%",-,-,-
Dark Mandate,Passive,-,"Level 1: Whenever Illia would gain a Free Turn, she heals for 35% Max HP instead.
Level 2: Dispel up to three [Debuff] effects
Level 3: Gain 35% turn progress",-,-,-
Bargain,Single - Any,-,"Level 1: Bonus action. Share 35% of Illia attributes with target ally, but ally skips their turns. One use.
Level 2: Ally deals 25% more damage and healing
Level 3: Ally has 50% chance to not be downed",-,-,-
Hellclaws,Row - Melee,102,"Level 1: Deals 0.35x Power [Physical] damage to enemies three times.
Level 2: Second hit always hits
Level 3: Third hit always crits",-,-,-
Banish,Single - Any,31,"Level 1: Target cannot act, but all damage and healing received are nullified for 3 turns. Not dispellable. Only one active at a time.
Level 2: Removes all [Buff] effects from target
Level 3: Deals 1.5x Focus [Dark] damage on end",-,-,-
Penance,Self - Party,-,"Level 1: Heals all allies for 0.1x Focus for each Sin. Removes all Sin.
Level 2: Dispel 1 [Debuff] from self for each Sin
Level 3: Gain 1 Resist for each Sin",-,-,-
Mortal Sin,Passive,-,"Level 1: Gain 2 Sin after using [Attack] skills. Each stack adds up to 0.15x Focus [Dark] damage to [Attack] hits, but increases damage taken by 10%.
Level 2: Each stack increases [Attack] damage by 5%
Level 3: Each stack increases Speed by +5",-,-,-
Fallen Grace,Passive,-,"Level 1: Gain 5 Sin after using [Holy] skills, but sacrifice 15% of current HP.
Level 2: Converts all [Holy] damage dealt into [Dark]
Level 3: Decreases [Holy] skill MP cost to 0",-,-,-
Flight,Self,-,"Level 1: Replace Guard Strike and Penance with Strafe and Grab. Become untargetable for 3 turns. Charges over time.
Level 2: Increases Speed by 50%
Level 3: Increases Power by 50%",-,-,-
Strafe,Row - Any,?,"Level 1: Bonus Action. Deals 1x Power [Physical] damage to target. Row takes 0.5x Power [Physical] damage.
Level 2: Enemies bleed for 50% [Physical] damage taken for 1 turn
Level 3: Bleed now lasts 2 turns",-,-,-
Grab,Single - Any,-,"Level 1: Pick up a non-boss target. Target cannot act and is dropped on Eligor's next turn, or when Flight ends, for 1x Speed [Physical] damge.
Level 2: Also deals [Stun] damage
Level 3: Deals 25% increased damage",-,-,-
Fatal Spear,Single - Any,-,"Level 1: Deals 2.0x Power [Physical] damage to target critical enemy. Deals double damage if used while in Flight.
Level 2: Always deals critical damage
Level 3: Cannot miss",-,-,-
